id,title,lemmatized,sentiment_lemm,fear,anger,anticipation,surprise,sadness,joy,disgust,positive,negative
14022,Slacker,moon philosophy burglar texas dream atomic bomb tent anarchist telescope ufo independent film cigarette smoking african american writer cafe sunglass pap smear austin texas hit run dallas texas twenty something reference jack ruby dairy queen restaurant moon walk anarchic comedy nd comedy iso_3166_1 u name united state america english,present day life austin texas among social outcast misfit predominantly twentysomething set using series linear vignette character manner dont fit establishment norm move seamlessly one scene next randomly coming going one anothers life comedy moon philosophy burglar texas dream atomic bomb tent anarchist telescope ufo independent film cigarette smoking african american writer cafe sunglass pap smear austin texas hit run dallas texas twenty something reference jack ruby dairy queen restaurant moon walk anarchic comedy,0.1428571428571428,0.1071428571428571,0.0714285714285714,0.1071428571428571,0.0714285714285714,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.2142857142857142
14024,Raise Your Voice,music life dream aspiring singer singer teenager death brother grieving music school overprotective father dont hold back dont give music drama romance iso_3166_1 u name united state america english,raise voice comingofage story centered around smalltown singer brokenhearted death brother car crash secretly submitted summer session performing art academy los angeles performing art academy experience whole new way life big city far small town lifestyle shes used music drama romance music life dream aspiring singer singer teenager death brother grieving music school overprotective father,0.0701754385964912,0.0350877192982456,0.1052631578947368,0.1052631578947368,0.1578947368421052,0.1228070175438596,0.0350877192982456,0.1929824561403508,0.0701754385964912
14033,Soul Survivors,hallucination car crash death sole survivor nd horror mystery thriller iso_3166_1 u name united state america english,female collage coed freshman involved fatal car crash discovers may survived tragedy becomes caught world living dead sort limbo state real spirit world ghost afterlife want collect even worse use body transition state enter world horror mystery thriller hallucination car crash death sole survivor,0.225,0.075,0.05,0.125,0.175,0.0,0.05,0.075,0.2
14034,What's the Worst That Could Happen?,business man master thief thief ring take thief nail crook action comedy iso_3166_1 u name united state america english,thief kevin caffery attempt rob home rich businessman max fairbanks fairbanks catch steal cherished ring girlfriend gave caffery bent revenge getting ring back help partner action comedy business man master thief thief ring,0.1621621621621621,0.1621621621621621,0.054054054054054,0.1351351351351351,0.1351351351351351,0.0,0.1081081081081081,0.081081081081081,0.1621621621621621
14043,Nancy Drew,california detective based novel dream kidnapping chase party murder rescue escape hollywood teenager explosion surveillance flashback small town girl big time adventure action adventure crime family mystery thriller iso_3166_1 u name united state america english,intrepid teenage private eye nancy drew head tinseltown father investigate unsolved murder movie star oldfashioned whodunit based carolyn keenes popular series book young adult smalltown girl cut hollywood hype solve case action adventure crime family mystery thriller california detective based novel dream kidnapping chase party murder rescue escape hollywood teenager explosion surveillance flashback,0.12,0.06,0.14,0.12,0.06,0.06,0.04,0.16,0.16
14047,The Great Debaters,biography nation need inspired give u hope drama iso_3166_1 u name united state america english,true story brilliant politically radical debate team coach us power word transform group underdog african american college student historical powerhouse took harvard elite drama biography,0.0,0.0,0.125,0.0,0.0,0.1875,0.0,0.3125,0.0
14048,Man on Wire,judge juggler passion reality street artist jail independent film fame hiding tower 1974 1350 foot artistic crime century thriller documentary crime history iso_3166_1 gb name united kingdom iso_3166_1 u name united state america english,august 7th 1974 french tightrope walker philippe petit stepped high wire illegally rigged new york world trade center twin tower world tallest building nearly hour performing wire 1350 foot sidewalk manhattan arrested fun spellbinding documentary chronicle philippe petits highest achievement thriller documentary crime history judge juggler passion reality street artist jail independent film fame hiding tower,0.088235294117647,0.0294117647058823,0.1176470588235294,0.0294117647058823,0.0294117647058823,0.1176470588235294,0.0,0.3529411764705882,0.088235294117647
14054,Snow Angels,suicide depression small town family relationship young love fall fly drama romance iso_3166_1 u name united state america english,waitress annie separated suicidal alcoholic husband glenn glenn become evangelical christian erratic attempt getting back annies life alarmed high school student arthur work annies restaurant growing closer new kid town lila class glenn annies daughter go missing whole town search increasingly spiral control drama romance suicide depression small town family relationship young love,0.1176470588235294,0.0588235294117647,0.088235294117647,0.088235294117647,0.1470588235294117,0.1176470588235294,0.0294117647058823,0.1176470588235294,0.1764705882352941
14057,Trust the Man,independent film men play game woman know score comedy drama romance iso_3166_1 u name united state america english,overachieving actress rebecca moore must come grip failing marriage stayathome dad tom duchovny rebecca slacker brother tobey billy crudup cant seem commit aspiringnovelist girlfriend elaine maggie gyllenhaal relationship spin control two couple embark quest rediscover magic romance falling love new york comedy drama romance independent film,0.0967741935483871,0.032258064516129,0.1612903225806451,0.064516129032258,0.1290322580645161,0.1290322580645161,0.0,0.1935483870967742,0.064516129032258
14112,Auto Focus,male nudity adultery based novel infidelity tv show blow job video biography sex addiction based true story independent film sex addict day without sex day wasted drama crime iso_3166_1 u name united state america english,successful tv star 1960s former hogan hero actor bob crane project wholesome familyman image front mask persona sex addict record photograph many encounter woman often help seedy friend john henry carpenter biographical drama reveals crane double life take toll family ultimately contributes death drama crime male nudity adultery based novel infidelity tv show blow job video biography sex addiction based true story independent film sex addict,0.0350877192982456,0.0526315789473684,0.1403508771929824,0.0350877192982456,0.0526315789473684,0.1403508771929824,0.0701754385964912,0.1929824561403508,0.1052631578947368
